time_stamp	track_id	x_state	y_state	v_state	yaw_state	yaw_rate_state
2950000	-1	3.28913	50.7313	19.8276	0.0784407	0.00125721
2950000	-1	3.28913	50.7313	19.8276	0.0784407	0.00125721
2960000	20	-3.39955	15.2837	1.28745	2.47745	0.0372342
2960000	21	0.0785848	31.3612	0.475505	1.50722	0.0595032
2960000	22	-3.39954	15.2836	1.28753	2.47757	0.0372495
2960000	27	15.0786	56.4069	17.7696	0.703228	0.149656
2960000	28	15.0786	56.4069	17.7696	0.703228	0.149656
2960000	-1	3.44308	50.9445	19.7962	0.394019	0.0109782
2960000	-1	3.44308	50.9445	19.7962	0.394019	0.0109782
2970000	20	-3.41019	15.4305	1.28954	2.47554	0.0310777
2970000	21	0.0725123	31.4419	0.479015	1.53908	0.0616143
2970000	22	-3.41019	15.4304	1.28962	2.47567	0.0310941
2970000	-1	3.59904	51.3504	19.7534	0.712583	0.0277231
2970000	-1	3.59904	51.3504	19.7534	0.712583	0.0277231
2980000	20	-3.29844	15.5196	1.30733	2.4844	0.0279515
2980000	21	0.0557992	31.4699	0.437097	1.5868	0.069301
2980000	22	-3.29843	15.5196	1.30741	2.48453	0.0279682
2980000	-1	3.8013	51.7947	19.6502	0.823123	0.0456004
2980000	-1	3.8013	51.7947	19.6502	0.823123	0.0456004
2990000	20	-3.00628	15.5559	1.363	2.54112	0.0424977
2990000	21	0.0473292	31.655	0.537536	1.60928	0.0638954
2990000	22	-3.00623	15.5558	1.36309	2.54127	0.0425172
2990000	-1	4.06575	52.3778	19.4903	0.902055	0.0801377
2990000	-1	4.06575	52.3778	19.4903	0.902055	0.0801377
3000000	20	-2.57681	15.6047	1.46778	2.40506	0.160075
3000000	21	0.0455776	31.8498	0.629571	1.61356	0.0527614
3000000	22	-2.57675	15.6047	1.46789	2.40523	0.160127
3000000	29	4.25742	52.8292	19.0596	0.937418	0.170581
3000000	30	4.25742	52.8292	19.0596	0.937418	0.170581
3010000	20	-2.21295	15.5594	1.56194	2.36664	0.378869
3010000	21	0.0524381	31.885	0.608006	1.61578	0.0434768
3010000	22	-2.21303	15.5592	1.56209	2.36709	0.378854
3010000	29	4.36149	53.2347	18.4035	0.983729	0.316096
3010000	30	4.36149	53.2347	18.4035	0.983729	0.316096
